p,t,ti,z
1000.0,-1.9,-2.3848015192049274,86.0
966.68,-3.2,-3.604763439311796,355.0
948.53,-3.9,-4.290611553532074,505.0
943.88,-3.0,-3.4863920127608026,544.0
942.42,-1.1,-1.1000000000000227,556.0
941.3,0.0,0.0,566.0
933.67,1.6,0.5447354715200845,631.0
930.67,1.3,0.1927837707307276,657.0
925.0,0.6,-0.2848672227121938,706.0
915.56,0.0,-0.7636953505743804,789.0
895.49,-1.0,-1.8032510029341893,966.0
850.0,-2.7,-3.2763542874749305,1380.0
847.22,-3.0,-3.5364929951288673,1406.0
815.24,-5.0,-5.19038055481883,1710.0
806.46,-5.0,-5.201786770079877,1795.0
772.21,-4.0,-4.255751753390314,2138.0
742.88,-3.2,-3.2749084702825826,2443.0
713.08,-2.8,-2.998482990479374,2768.0
711.28,-3.2,-3.424913378856104,2788.0
700.0,-4.3,-4.5044336766279685,2914.0
682.35,-4.8,-5.0139941570278665,3115.0
653.08,-6.4,-6.727217986233313,3459.0
650.57,-7.0,-7.334219077572243,3489.0
619.79,-9.7,-10.018960344453888,3866.0
