NCEP_ID IGRA_ID LAT LON ELEV
+2465 SWM00002465  59.3500  17.9500    22
+4270 GLM00004270  61.1700 -45.4200    32
01001 JNM00001001  70.9300  -8.6700     9
01004 SVM00001004  78.9200  11.9300     8
01007 SVM00001004  78.9200  11.9300     8
01241 NOM00001241  63.7000   9.6200     7
01384 NOM00001384  60.2000  11.0800   204
01492 NOM00001492  59.9500  10.7200    96
02226 SWM00002225  63.1800  14.5000   376
02464 SWM00002465  59.3500  17.9500    15
02465 SWM00002465  59.3500  17.9500    22
02591 SWM00002591  57.6500  18.3500    47
02935 FIM00002935  62.4000  25.6800   140
02963 FIM00002963  60.8200  23.5000   103
03005 UKM00003005  60.1300  -1.1800    83
03066 UKM00003066  57.6500  -3.5700     8
03162 UKM00003162  55.3200  -3.2000   242
03170 UKM00003170  56.4300  -2.8700     4
03240 UKM00003240  55.4200  -1.6000    23
03257 UKM00003257  54.3000  -1.5300    40
03322 UKM00003322  53.5500  -2.9200    56
03354 UKM00003354  53.0000  -1.2500   117
03377 UKM00003377  53.1700  -0.5200    70
03414 UKM00003414  52.8000  -2.6700    75
03415 UKM00003414  52.8000  -2.6700    74
03496 UKM00003496  52.6800   1.6800    14
03501 UKM00003501  52.4200  -4.0000    92
03502 UKM00003502  52.1300  -4.5700   132
03559 UKM00003559  52.1000  -0.4200    29
03590 UKM00003590  52.1200   0.9700    87
03649 UKM00003649  51.7500  -1.5800    86
03694 UKM00003693  51.5500   0.8300     2
03715 UKM00003715  51.4000  -3.3500    67
03743 UKM00003743  51.2000  -1.8000   132
03774 UKM00003774  51.0800  -0.2200   143
03808 UKM00003808  50.2200  -5.3200    87
03882 UKM00003882  50.9000   0.3200    52
03920 UKM00003920  54.4800  -6.1000    38
03953 EIM00003953  51.9300 -10.2500     9
04018 ICM00004018  63.9800 -22.6000    52
04340 GLM00004340  70.4200 -21.9700    42
04416 GLM00004417  72.5800 -38.4500  3202
06011 FOM00006011  62.0200  -6.7700    24
06030 DAM00006030  57.1000   9.8700     3
06060 DAM00006060  56.3000   9.1200    50
06181 DAM00006181  55.7700  12.5300    40
06235 NLM00006235  52.9200   4.7800     1
06242 NLM00006242  53.2500   4.9200     5
06260 NLM00006260  52.1000   5.1800     2
06261 NLM00006260  52.1000   5.1800     2
