,accuracy,recall,precision,f1score,POD,FARatio,FAR,CSI,HSS,TSS
04202,0.9473684210526315,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.6415094339622641,0.5
25399,0.9259259259259259,0.7142857142857143,0.7142857142857143,0.35714285714285715,0.7142857142857143,0.2857142857142857,0.0425531914893617,0.5555555555555556,0.6717325227963525,0.6717325227963526
70086,0.8571428571428571,0.6,0.75,0.3333333333333333,0.6,0.25,0.0625,0.5,0.5771812080536913,0.5375
70133,0.9210526315789473,0.6111111111111112,0.6875,0.3235294117647059,0.6111111111111112,0.3125,0.03731343283582089,0.4782608695652174,0.6027874564459931,0.5737976782752903
70200,0.9171270718232044,0.6842105263157895,0.5909090909090909,0.3170731707317073,0.6842105263157895,0.40909090909090906,0.05555555555555555,0.4642857142857143,0.5876993166287016,0.6286549707602339
70231,0.9473684210526315,0.8333333333333334,0.7142857142857143,0.3846153846153847,0.8333333333333334,0.2857142857142857,0.0392156862745098,0.625,0.7397260273972602,0.7941176470588236
70261,0.9411764705882353,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.5555555555555556,0.4444444444444444,0.031496062992125984,0.38461538461538464,0.5240594925634295,0.5240594925634297
70273,0.9528985507246377,0.6956521739130435,0.7272727272727273,0.35555555555555557,0.6956521739130435,0.2727272727272727,0.023715415019762844,0.5517241379310345,0.6854838709677419,0.6719367588932806
70316,0.9155749636098981,0.5757575757575758,0.5588235294117647,0.2835820895522388,0.5757575757575758,0.4411764705882353,0.04830917874396135,0.3958333333333333,0.5204015310175489,0.5274483970136145
70361,0.9474412171507607,0.6981132075471698,0.6271186440677966,0.33035714285714285,0.6981132075471698,0.3728813559322034,0.03283582089552239,0.49333333333333335,0.6323171221327052,0.6652773866516474
70398,0.9769673704414588,0.5,0.8333333333333334,0.3125,0.5,0.16666666666666663,0.003992015968063872,0.45454545454545453,0.6138833992094862,0.49600798403193613
71051,0.9333333333333333,0.6666666666666666,1.0,0.4,0.6666666666666666,0.0,0.0,0.6666666666666666,0.7619047619047619,0.6666666666666666
71072,0.78125,0.8333333333333334,0.45454545454545453,0.2941176470588235,0.8333333333333334,0.5454545454545454,0.23076923076923078,0.4166666666666667,0.4563106796116505,0.6025641025641026
71081,0.9224137931034483,0.8,0.5333333333333333,0.32,0.8,0.4666666666666667,0.0660377358490566,0.47058823529411764,0.5984615384615385,0.7339622641509435
71082,0.76,0.7142857142857143,0.8333333333333334,0.3846153846153847,0.7142857142857143,0.16666666666666663,0.18181818181818182,0.625,0.5222929936305732,0.5324675324675325
71109,0.9832335329341317,0.6818181818181818,0.6818181818181818,0.34090909090909094,0.6818181818181818,0.31818181818181823,0.008610086100861008,0.5172413793103449,0.6732080957173208,0.6732080957173208
71203,0.9459459459459459,1.0,0.3333333333333333,0.25,1.0,0.6666666666666667,0.05555555555555555,0.3333333333333333,0.4788732394366197,0.9444444444444444
71625,1.0,1.0,1.0,0.5,1.0,0.0,,1.0,,
71714,0.9166666666666666,,0.0,,,1.0,0.08333333333333333,0.0,0.0,
71722,0.9111111111111111,0.8888888888888888,0.7272727272727273,0.4,0.8888888888888888,0.2727272727272727,0.08333333333333333,0.6666666666666666,0.7435897435897436,0.8055555555555555
71816,0.92578125,0.8076923076923077,0.6,0.34426229508196715,0.8076923076923077,0.4,0.06086956521739131,0.525,0.6474340388518411,0.7468227424749164
71823,0.9322033898305084,0.8,0.7058823529411765,0.37499999999999994,0.8,0.2941176470588235,0.04854368932038835,0.6,0.7109614206981016,0.7514563106796117
71836,0.8771929824561403,0.75,0.5454545454545454,0.31578947368421056,0.75,0.4545454545454546,0.10204081632653061,0.46153846153846156,0.5600882028665931,0.6479591836734694
