NCEP_ID,IGRA_ID,LAT,LON,ELEV,IGRA_LAT,IGRA_LON
+2465,SWM00002465,59.35,17.95,22,59.35,17.95
+4270,GLM00004270,61.17,-45.42,32,61.1667,-45.4167
01001,JNM00001001,70.93,-8.67,9,70.9397,-8.6678
01004,SVM00001004,78.92,11.93,8,78.9233,11.9222
01007,SVM00001004,78.92,11.93,8,78.9233,11.9222
01241,NOM00001241,63.7,9.62,7,63.7056,9.6117
01384,NOM00001384,60.2,11.08,204,60.2,11.083
01492,NOM00001492,59.95,10.72,96,59.9428,10.7194
02226,SWM00002225,63.18,14.5,376,63.183,14.5
02464,SWM00002465,59.35,17.95,15,59.35,17.95
02465,SWM00002465,59.35,17.95,22,59.35,17.95
02591,SWM00002591,57.65,18.35,47,57.65,18.35
02935,FIM00002935,62.4,25.68,140,62.3975,25.6708
02963,FIM00002963,60.82,23.5,103,60.8139,23.4975
03005,UKM00003005,60.13,-1.18,83,60.1392,-1.1847
03066,UKM00003066,57.65,-3.57,8,57.65,-3.567
03162,UKM00003162,55.32,-3.2,242,55.317,-3.2
03170,UKM00003170,56.43,-2.87,4,56.433,-2.867
03240,UKM00003240,55.42,-1.6,23,55.417,-1.6
03257,UKM00003257,54.3,-1.53,40,54.3,-1.533
03322,UKM00003322,53.55,-2.92,56,53.55,-2.917
03354,UKM00003354,53.0,-1.25,117,53.0056,-1.2511
03377,UKM00003377,53.17,-0.52,70,53.167,-0.517
03414,UKM00003414,52.8,-2.67,75,52.8,-2.667
03415,UKM00003414,52.8,-2.67,74,52.8,-2.667
03496,UKM00003496,52.68,1.68,14,52.67,1.68
03501,UKM00003501,52.42,-4.0,92,52.4167,-4.0
03502,UKM00003502,52.13,-4.57,132,52.1394,-4.5711
03559,UKM00003559,52.1,-0.42,29,52.1039,-0.4214
03590,UKM00003590,52.12,0.97,87,52.117,0.967
03649,UKM00003649,51.75,-1.58,86,51.75,-1.583
03694,UKM00003693,51.55,0.83,2,51.5547,0.8269
03715,UKM00003715,51.4,-3.35,67,51.4,-3.35
03743,UKM00003743,51.2,-1.8,132,51.2017,-1.8058
03774,UKM00003774,51.08,-0.22,143,51.083,-0.217
03808,UKM00003808,50.22,-5.32,87,50.2183,-5.3275
03882,UKM00003882,50.9,0.32,52,50.8994,0.3169
03920,UKM00003920,54.48,-6.1,38,54.48,-6.1
03953,EIM00003953,51.93,-10.25,9,51.9381,-10.2433
04018,ICM00004018,63.98,-22.6,52,63.9806,-22.595
04340,GLM00004340,70.42,-21.97,42,70.42,-21.97
04416,GLM00004417,72.58,-38.45,3202,72.5803,-38.4586
06011,FOM00006011,62.02,-6.77,24,62.0231,-6.7647
06030,DAM00006030,57.1,9.87,3,57.1,9.867
06060,DAM00006060,56.3,9.12,50,56.2933,9.1139
06181,DAM00006181,55.77,12.53,40,55.767,12.533
06235,NLM00006235,52.92,4.78,1,52.9269,4.7811
06242,NLM00006242,53.25,4.92,5,53.25,4.917
06260,NLM00006260,52.1,5.18,2,52.0989,5.1797
06261,NLM00006260,52.1,5.18,2,52.0989,5.1797
06400,BEM00006400,51.08,2.65,5,51.083,2.65
06447,BEM00006447,50.8,4.35,100,50.7969,4.3581
06458,BEM00006458,50.75,4.77,105,50.7456,4.7633
06476,BEM00006476,50.03,5.4,563,50.033,5.4
06610,SZM00006610,46.82,6.95,489,46.8117,6.9425
07110,FRM00007110,48.45,-4.42,99,48.4442,-4.4119
07130,FRM00007130,48.07,-1.73,38,48.067,-1.733
07180,FRM00007180,48.68,6.22,225,48.6833,6.2167
07255,FRM00007255,47.07,2.37,161,47.067,2.367
07280,FRM00007280,47.27,5.08,222,47.267,5.083
07412,FRM00007412,45.67,-0.32,30,45.667,-0.317
07481,FRM00007481,45.73,5.08,248,45.7264,5.0778
07510,FRM00007510,44.83,-0.7,49,44.8306,-0.6914
07630,FRM00007630,43.63,1.37,152,43.633,1.367
07680,FRM00007680,43.42,6.75,2,43.417,6.75
07690,FRM00007690,43.65,7.2,4,43.65,7.2
07761,FRM00007761,41.92,8.8,5,41.9181,8.7928
08001,SPM00008001,43.37,-8.42,58,43.3658,-8.4214
08087,SPM00008087,42.2,-1.45,295,42.2,-1.45
08221,SPM00008221,40.47,-3.57,609,40.4653,-3.5797
08301,SPM00008301,39.55,2.62,6,39.55,2.617
08433,SPM00008433,37.78,-0.8,3,37.783,-0.8
08495,GIM00008495,36.15,-5.35,5,36.15,-5.35
08522,POM00008522,32.63,-16.9,56,32.6333,-16.9
08554,POM00008554,37.02,-7.97,8,37.017,-7.967
08579,POM00008579,38.77,-9.13,104,38.7667,-9.1333
08589,CVM00008589,14.9,-23.52,27,14.9,-23.517
09393,GMM00010393,52.22,14.12,98,52.2167,14.1167
10035,GMM00010035,54.53,9.55,44,54.5333,9.55
10046,GMM00010046,54.38,10.15,31,54.383,10.15
10113,GMM00010113,53.72,7.15,13,53.7139,7.1525
10238,GMM00010238,52.82,9.93,69,52.8153,9.9247
10304,GMM00010304,52.72,7.32,26,52.7156,7.3175
10307,GMM00010307,52.27,7.43,79,52.267,7.433
10338,GMM00010338,52.47,9.7,55,52.467,9.7
10393,GMM00010393,52.22,14.12,115,52.2167,14.1167
10410,GMM00010410,51.4,6.97,154,51.4056,6.9686
10437,GMM00010437,51.13,9.28,223,51.13,9.28
10486,GMM00010486,51.12,13.68,232,51.11,13.67
10618,GMM00010618,49.7,7.33,377,49.6928,7.3264
10619,GMM00010619,49.65,7.3,426,49.65,7.3
10659,GMM00010659,49.75,10.2,210,49.75,10.2
10687,GMM00010687,49.7,11.95,415,49.7,11.95
10739,GMM00010739,48.83,9.2,311,48.8333,9.2
10764,GMM00010764,49.38,11.17,379,49.383,11.167
10771,GMM00010771,49.43,11.9,418,49.4283,11.9022
10828,GMM00010828,48.1,9.25,646,48.1,9.25
10868,GMM00010868,48.25,11.55,489,48.2442,11.5525
10921,GMM00010921,47.98,8.9,804,47.983,8.9
10954,GMM00010954,47.83,10.87,760,47.8342,10.8667
10962,GMM00010962,47.8,11.02,977,47.8019,11.0119
11010,AUM00011010,48.23,14.18,297,48.2353,14.1881
11011,AUM00011010,48.23,14.18,304,48.2353,14.1881
11120,AUM00011120,47.27,11.35,581,47.2603,11.3439
11239,AUM00011240,47.0,15.43,347,46.9931,15.4392
11520,EZM00011520,50.0,14.45,305,50.0078,14.4469
11952,LOM00011952,49.03,20.32,706,49.0333,20.3167
12120,PLM00012120,54.75,17.53,2,54.7536,17.5347
12812,HUM00012812,47.27,16.63,224,47.267,16.633
12843,HUM00012843,47.43,19.18,140,47.4333,19.1833
12942,HUM00012942,46.0,18.23,201,46.0,18.233
12982,HUM00012982,46.25,20.1,83,46.25,20.1
13015,SIM00014015,46.07,14.52,299,46.0656,14.5122
13130,HRM00014240,45.82,16.03,123,45.8219,16.0336
13275,RIM00013275,44.77,20.42,203,44.7667,20.4167
13334,HRM00013334,43.52,16.43,128,43.517,16.433
13388,RIM00013388,43.33,21.9,202,43.3333,21.9
13586,MKM00013586,41.95,21.63,232,41.95,21.633
14015,SIM00014015,46.07,14.52,316,46.0656,14.5122
14240,HRM00014240,45.82,16.03,128,45.8219,16.0336
14445,HRM00013334,43.52,16.43,128,43.517,16.433
15120,ROM00015120,46.78,23.57,410,46.7778,23.5714
15145,ROM00015145,46.53,24.53,308,46.533,24.533
15150,ROM00015150,46.58,26.98,182,46.583,26.983
15200,ROM00015200,46.17,21.32,108,46.167,21.317
15247,ROM00015247,45.77,21.25,89,45.767,21.25
15302,ROM00015302,45.5,25.58,1093,45.5,25.583
15350,ROM00015350,45.15,26.82,96,45.15,26.817
15360,ROM00015360,45.15,29.67,3,45.15,29.667
15410,ROM00015410,44.63,22.63,77,44.633,22.633
15480,ROM00015480,44.22,28.63,31,44.217,28.633
16036,ITM00016037,46.03,12.6,128,46.0303,12.5992
16044,ITM00016044,46.03,13.18,93,46.0333,13.1833
16144,ITM00016144,44.65,11.62,38,44.6539,11.6225
16242,ITM00016242,41.8,12.23,2,41.8,12.233
16429,ITM00016429,37.92,12.5,7,37.9142,12.4914
