p,t,tw,ti,z
996.1,-1.0,-1.0386352073957654,-0.9859737656590819,84.0
978.8,-2.3,-2.555293144220493,-2.446153873002132,224.0
966.2,-1.7,-2.662142936967762,-2.601686127191822,327.0
959.6,0.0,-0.6311107739975659,-0.6415092039871921,382.0
943.6,0.3,0.05178390128078955,0.031464844024528836,516.0
900.0,-1.5,-1.7385244910995137,-1.6605151107731861,895.0
859.7,-3.2,-3.466901706055767,-3.306482897083586,1259.0
850.0,-3.5,-3.7655489645300144,-3.590995450993774,1349.0
800.0,-5.3,-5.5918468098500655,-5.339942094623878,1827.0
726.9,-8.1,-8.408417572109824,-8.053284223429717,2576.0
700.0,-8.9,-9.335205935389324,-8.959236840370075,2869.0
670.8,-9.8,-10.385716111057041,-9.989551978747285,3199.0
638.7,-9.5,-9.91637057024949,-9.501140517588581,3578.0
600.0,-11.4,-11.70103800507164,-11.225039504637275,4059.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
