p,t,tw,ti,z
1010.7,-0.5,-0.5,-0.47284959167033136,85.0
1000.0,-1.3,-1.3626193811643246,-1.2956678818438285,170.0
982.9,-2.5,-2.5497625587324224,-2.4253434187086067,307.0
953.9,-2.2,-2.4579587747859213,-2.3512514009532324,545.0
925.0,-3.7,-3.7975298938923125,-3.6185166353478038,789.0
902.9,-4.3,-4.3,-4.090732390200555,980.0
899.2,-4.0,-4.0,-3.802064356642216,1012.0
892.8,-1.5,-1.5,-1.4165869115431329,1069.0
890.0,-1.1,-1.1,-1.0376745053493925,1094.0
867.8,-2.0,-2.0,-1.8894892169811885,1295.0
850.0,-1.6,-1.6,-1.5090727122271523,1460.0
837.4,-0.1,-0.1,-0.09391009928063494,1579.0
830.3,0.5,0.5,0.4687011434849164,1648.0
802.0,0.1,0.1,0.0937334506209926,1926.0
700.0,-4.5,-4.5,-4.24995129415562,3008.0
629.5,-8.9,-8.995586871110936,-8.572823670035547,3837.0
609.7,-9.1,-9.24488059668655,-8.81119147131947,4085.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
