p,t,tw,ti,z
966.0,-1.3,-2.3778090322369905,-2.338328128953181,360.0
921.0,-3.5,-3.926781645149082,-3.76790658349679,739.0
886.0,-0.9,-0.9415987573628571,-0.8906733446007152,1047.0
864.0,-1.3,-1.3415900234086333,-1.2680817514589924,1248.0
853.0,0.0,-0.043921978064503424,-0.044192905819200205,1350.0
850.0,0.1,0.05583584094686666,0.049512110291547416,1378.0
839.0,0.2,0.15535898863538197,0.1428821354580107,1483.0
832.0,0.6,0.5545292379560204,0.5168477005781482,1550.0
819.0,0.0,-0.04492541246700485,-0.04508659505861194,1677.0
741.0,-3.3,-3.3421901427437395,-3.1556401280400217,2475.0
733.0,-2.1,-2.4484604689092455,-2.326955908837978,2561.0
708.0,-4.3,-5.129071988069542,-4.913615717735633,2836.0
700.0,-5.1,-5.9084409560217095,-5.6599623406050625,2926.0
644.0,-10.3,-11.06957059675264,-10.664972321745358,3576.0
637.0,-9.7,-10.372340852161882,-9.968078281326001,3660.0
629.0,-11.5,-11.97484005896496,-11.52498577078291,3757.0
