p,t,tw,ti,z
1009.2,-7.5,-8.180437862642858,-7.9392795457227665,172.0
1000.0,-8.1,-8.950912013155008,-8.710230621638434,243.0
984.7,-9.1,-10.121082221733047,-9.876835450599309,363.0
952.5,-11.1,-11.83427134567088,-11.537877678766902,619.0
948.3,-11.1,-11.93360654214117,-11.644971321320254,653.0
935.5,-7.8,-10.115220491268452,-9.978131490813675,758.0
930.7,-7.5,-10.116234463186778,-10.005730362210505,798.0
925.0,-6.9,-9.401720015556252,-9.285707545153167,846.0
907.2,-4.9,-8.384438905930715,-8.363781458830152,998.0
894.6,-4.5,-8.30515401877557,-8.309492998811148,1108.0
887.0,-4.5,-7.960346809572832,-7.936325835785609,1175.0
867.6,-2.7,-5.9198362854983175,-5.90958973438452,1349.0
864.2,-2.4,-4.68724017665103,-4.636517125536069,1380.0
850.0,-3.5,-5.474593916617696,-5.3707930819830745,1512.0
844.7,-3.5,-3.9187691840646686,-3.7486104771131328,1561.0
837.1,-2.6,-2.6,-2.4573015814436303,1633.0
829.0,0.6,0.6,0.5622680492637873,1710.0
821.9,3.4,3.4,3.1623734738791445,1780.0
773.3,2.2,2.2,2.0485550239038446,2274.0
734.3,2.7,2.7,2.5067361324772177,2693.0
700.0,1.2,1.2,1.11672169298868,3080.0
682.9,0.1,0.1,0.0932533330202726,3279.0
609.0,-5.0,-5.058805543453293,-4.767907698212672,4189.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
