,datetime,lat,lon,elev,t,td,p,slp,ww,tw,wwflag,ti,area1_t,area2_t,area3_t,freezing_level1_t,freezing_level2_t,freezing_level3_t,lapse_rate_t,lowest_t,lowest_p_t,lowest_z_t,type_t,PA_t,NA_t,area1_tw,area2_tw,area3_tw,freezing_level1_tw,freezing_level2_tw,freezing_level3_tw,lapse_rate_tw,lowest_tw,lowest_p_tw,lowest_z_tw,type_tw,PA_tw,NA_tw,area1_ti,area2_ti,area3_ti,freezing_level1_ti,freezing_level2_ti,freezing_level3_ti,lapse_rate_ti,lowest_ti,lowest_p_ti,lowest_z_ti,type_ti,PA_ti,NA_ti,ID
181,1980-08-07 00:00:00,   76.5300,  291.5000,   59.0000,    2.0000,   -3.0000, 1014.9000, 1024.6000,   60.0000,    0.0500,    1.0000,   -0.0241,  151.8770,   -8.6083,    0.0000, 1695.1915,    0.0000,    0.0000,   -9.9707,    1.6000, 1018.0000,   59.0000,    1.0000,  151.8770,nan,   -2.3284,   95.4151,   -8.6083, 1695.1915,    0.0000,    0.0000,   -7.0063,   -0.2491, 1018.0000,   59.0000,    2.0000,   95.4151,   -2.3284,   -3.3273,   86.3957,   -8.1834, 1693.7113,    0.0000,    0.0000,   -6.4186,   -0.3710, 1018.0000,   59.0000,    2.0000,   86.3957,   -3.3273,04202
3165,1984-05-15 00:00:00,   66.1700,  190.1700,    7.0000,   -2.7000,   -3.0000, 1015.7019, 1016.6000,   77.0000,   -2.8100,    2.0000,   -2.6778,  -30.1420,  103.8043,  -27.9467, 1467.8916,    0.0000,    0.0000,  -20.1018,   -3.1000, 1016.0000,    7.0000,    2.0000,  103.8043,  -30.1420,  -40.0807,    1.6529, -209.3970,  484.9660,    0.0000,    0.0000,   -9.7706,   -3.1000, 1016.0000,    7.0000,    2.0000,    1.6529,  -40.0807,  -39.5398,    0.5368, -219.3407,  445.1453,    0.0000,    0.0000,   -8.5623,   -2.9510, 1016.0000,    7.0000,    2.0000,    0.5368,  -39.5398,25399
3814,1988-05-25 12:00:00,   66.1700,  190.1700,    7.0000,   -4.6000,   -5.2000, 1013.8972, 1014.8000,   85.0000,   -4.8000,    2.0000,   -4.5983,  -98.8900,   53.3353,  -39.0356, 1408.0000,    0.0000,    0.0000,   -8.5193,   -5.3000, 1014.0000,    7.0000,    2.0000,   53.3353,  -98.8900, -106.9948,    2.9691, -114.9593,  902.5012,    0.0000,    0.0000,   -8.3963,   -5.5497, 1014.0000,    7.0000,    2.0000,    2.9691, -106.9948, -103.5317,    1.5856, -116.9304,  874.8646,    0.0000,    0.0000,   -8.0678,   -5.3346, 1014.0000,    7.0000,    2.0000,    1.5856, -103.5317,25399
4425,1992-06-14 00:00:00,   66.1700,  190.1700,    7.0000,    0.4000,   -0.2000, 1015.6000, 1016.0000,   61.0000,    0.1500,    1.0000,    0.1353,  -31.9066,  150.8046,nan,   40.9231, 2440.1698,    0.0000,    2.1997,    0.4000, 1016.0000,    7.0000,    2.0000,  150.8046,  -31.9066,  -41.3165,   55.4122,    0.0000, 2082.6328,    0.0000,    0.0000,    1.5564,   -0.2561, 1016.0000,    7.0000,    2.0000,   55.4122,  -41.3165,  -39.9643,   45.7259,    0.0000, 2046.4478,    0.0000,    0.0000,    1.4241,   -0.2901, 1016.0000,    7.0000,    2.0000,   45.7259,  -39.9643,25399
4678,1995-05-10 00:00:00,   66.1700,  190.1700,    7.0000,    0.7000,    0.4000, 1013.1000, 1013.4000,   80.0000,    0.5700,    1.0000,    0.5368,  -15.5575,   10.9948,nan,   31.6923, 1087.7143,    0.0000,   -0.8208,    0.4000, 1013.0000,    7.0000,    2.0000,   10.9948,  -15.5575,  -26.4563,    3.7256,  -82.1734,  939.2351,    0.0000,    0.0000,   -1.1388,   -0.2573, 1013.0000,    7.0000,    2.0000,    3.7256,  -26.4563,  -26.0162,    3.1460,  -79.4948,  928.8094,    0.0000,    0.0000,   -1.0988,   -0.2912, 1013.0000,    7.0000,    2.0000,    3.1460,  -26.0162,25399
4948,1978-06-19 12:00:00,   70.1300,  216.4200,    2.0000,    0.0000,   -2.0000, 1009.1000, 1011.1000,   80.0000,   -0.7900,    1.0000,   -0.7724,   -0.3929,  180.6911,  -14.3341, 1646.6119,    0.0000,    0.0000,  -12.6761,   -0.5000, 1008.8000,   15.0000,    2.0000,  180.6911,   -0.3929,   -1.5073,  124.6518,  -14.3341, 1646.6119,    0.0000,    0.0000,   -4.6644,   -1.0972, 1008.8000,   15.0000,    2.0000,  124.6518,   -1.5073,   -1.5244,  112.3812,  -13.7186, 1644.1191,    0.0000,    0.0000,   -3.8607,   -1.0837, 1008.8000,   15.0000,    2.0000,  112.3812,   -1.5244,70086
5047,1979-05-05 12:00:00,   70.1300,  216.4200,    2.0000,   -3.0000,   -4.0000, 1007.5000, 1009.6000,   71.0000,   -3.3600,    2.0000,   -3.2126,  -61.8825,  149.0405,  -26.6156, 1501.0000,    0.0000,    0.0000,  -23.2409,   -5.0000, 1005.8000,   15.0000,    2.0000,  149.0405,  -61.8825,  -63.4826,    5.3048, -133.3529,  798.6235,    0.0000,    0.0000,  -12.5761,   -5.1296, 1005.8000,   15.0000,    2.0000,    5.3048,  -63.4826,  -61.1722,    1.3473, -140.7457,  636.5248,    0.0000,    0.0000,  -11.2689,   -4.9160, 1005.8000,   15.0000,    2.0000,    1.3473,  -61.1722,70086
5265,1981-05-02 12:00:00,   70.1300,  216.4200,    2.0000,   -1.0000,   -6.0000, 1005.6000, 1007.7000,   71.0000,   -2.7400,    2.0000,   -2.6768,   -5.3364,    5.9985, -139.4846,  626.5625,    0.0000,    0.0000,   -5.1195,   -0.6000, 1005.1000,   15.0000,    2.0000,    5.9985,   -5.3364,   -7.6823,    2.7356, -164.8804,  518.3482,    0.0000,    0.0000,   -8.2104,   -1.8008, 1005.1000,   15.0000,    2.0000,    2.7356,   -7.6823,   -7.4468,    2.3924, -158.4564,  510.0447,    0.0000,    0.0000,   -8.0172,   -1.7999, 1005.1000,   15.0000,    2.0000,    2.3924,   -7.4468,70086
5296,1981-08-22 00:00:00,   70.1300,  216.4200,    2.0000,    1.0000,    1.0000,  999.4000, 1001.4000,   61.0000,    1.0000,    1.0000,    0.9418, -126.6363,   38.4337,nan,   34.4000, 2050.1324,    0.0000,    7.3095,    0.6000,  999.7000,   15.0000,    2.0000,   38.4337, -126.6363, -142.3192,   26.5127,nan,   26.7295, 1961.4642,    0.0000,    7.7575,    0.6000,  999.7000,   15.0000,    2.0000,   26.5127, -142.3192, -136.4793,   23.9140,nan,   26.1860, 1951.9027,    0.0000,    7.4130,    0.5657,  999.7000,   15.0000,    2.0000,   23.9140, -136.4793,70086
5422,1982-06-09 00:00:00,   70.1300,  216.4200,    2.0000,    1.7000,    0.6000, 1017.5000, 1019.5000,   61.0000,    1.2300,    1.0000,    1.1433,  163.5167,    0.0000,    0.0000, 2179.0000,    0.0000,    0.0000,   -3.2319,    0.2000, 1017.3000,   15.0000,    0.0000,nan,nan,   -1.3068,  108.8289,    0.0000, 2098.2160,    0.0000,    0.0000,   -3.3987,   -0.6397, 1017.3000,   15.0000,    2.0000,  108.8289,   -1.3068,   -1.4075,   98.3469,    0.0000, 2092.8653,    0.0000,    0.0000,   -3.2236,   -0.6675, 1017.3000,   15.0000,    2.0000,   98.3469,   -1.4075,70086
6349,1979-03-26 00:00:00,   66.8700,  197.3700,    5.0000,   -1.0000,   -1.0000, 1023.5000, 1024.1000,   71.0000,   -1.0000,    2.0000,   -0.9473,   -0.0278,   11.8665, -203.2332,  579.8780,    0.0000,    0.0000,   -0.5464,   -0.1000, 1023.5000,    5.0000,    2.0000,   11.8665,   -0.0278,   -0.4618,    4.1997, -212.0298,  442.6775,    0.0000,    0.0000,   -0.2014,   -0.3730, 1023.5000,    5.0000,    2.0000,    4.1997,   -0.4618,   -0.4957,    3.5454, -202.4898,  428.4737,    0.0000,    0.0000,   -0.1683,   -0.3728, 1023.5000,    5.0000,    2.0000,    3.5454,   -0.4957,70133
7403,1989-02-25 00:00:00,   66.8700,  197.3700,    5.0000,   -6.7000,   -6.7000,  998.1000,  998.8000,   71.0000,   -6.7000,    2.0000,   -6.4287, -129.0150,   48.1928,    0.0000, 2033.0000,    0.0000,    0.0000,  -12.3393,   -7.8000,  999.5000,    5.0000,    2.0000,   48.1928, -129.0150, -143.7216,   31.4460,   -1.8097, 1866.7749,    0.0000,    0.0000,  -11.7306,   -7.9116,  999.5000,    5.0000,    2.0000,   31.4460, -143.7216, -138.6472,   28.4588,   -1.9861, 1856.3515,    0.0000,    0.0000,  -11.3418,   -7.6221,  999.5000,    5.0000,    2.0000,   28.4588, -138.6472,70133
7603,1990-10-05 00:00:00,   66.8700,  197.3700,    5.0000,    0.6000,    0.0000,  999.0000,  999.6000,   71.0000,    0.3500,    2.0000,    0.3198,    4.0760, -167.3986,    0.0000,  138.0000,    0.0000,    0.0000,    1.2920,    0.3000,  999.7000,    5.0000,    1.0000,    4.0760,nan,    0.9469, -194.3197,    0.0000,   92.2643,    0.0000,    0.0000,    1.5911,    0.0180,  999.7000,    5.0000,    1.0000,    0.9469,nan,   -0.0000,    0.7135, -186.2938,   86.1967,    0.0000,    0.0000,    1.5236,   -0.0033,  999.7000,    5.0000,    2.0000,    0.7135,   -0.0000,70133
8159,1997-11-09 12:00:00,   66.8700,  197.3700,    5.0000,    0.1000,   -0.5000,  989.2000,  989.8000,   71.0000,   -0.1500,    2.0000,   -0.1490,   -3.1024,    3.1776,nan,   12.3333,  787.4000,    0.0000,   -0.0000,    0.1000,  990.2000,    5.0000,    2.0000,    3.1776,   -3.1024,   -5.8128,    0.0881,   -2.0916,  290.0321,  708.1636,    0.0000,   -0.3115,   -0.3507,  990.2000,    5.0000,    2.0000,    0.0881,   -5.8128,   -5.6996,    0.0650,   -2.1965,  286.3239,  701.5349,    0.0000,   -0.3192,   -0.3640,  990.2000,    5.0000,    2.0000,    0.0650,   -5.6996,70133
10667,1981-02-08 12:00:00,   64.5200,  194.5700,   11.0000,    1.0000,   -2.0000, 1014.9000, 1015.8000,   61.0000,   -0.1900,    1.0000,   -0.2207,   -1.0912,   20.6161,  -95.7719,  847.2195,    0.0000,    0.0000,   -3.3333,    0.0000, 1014.9000,    5.0000,    2.0000,   20.6161,   -1.0912,   -3.3082,   16.4017, -105.0174,  802.3403,    0.0000,    0.0000,   -4.6861,   -0.8331, 1014.9000,    5.0000,    2.0000,   16.4017,   -3.3082,   -3.3029,   15.1083, -100.1308,  797.6404,    0.0000,    0.0000,   -4.5182,   -0.8506, 1014.9000,    5.0000,    2.0000,   15.1083,   -3.3029,70200
14208,2007-11-30 12:00:00,   64.5200,  194.5700,   11.0000,    1.7000,   -1.7000, 1010.0000, 1010.6000,   61.0000,    0.3300,    1.0000,    0.2612,   17.1489,   -0.6432,  185.0731,  420.0000, 2138.8000,    0.0000,    2.7184,    1.1000, 1010.3000,    5.0000,    1.0000,   17.1489,nan,  -13.2014,  146.2802,nan,   25.5680, 2086.5035,    0.0000,    3.1182,    0.0426, 1010.3000,    5.0000,    2.0000,  146.2802,  -13.2014,  -14.6785,  133.8082,    0.0000, 2082.5537,    0.0000,    0.0000,    2.9834,   -0.0361, 1010.3000,    5.0000,    2.0000,  133.8082,  -14.6785,70200
14822,1979-04-05 12:00:00,   62.9500,  204.4000,  103.0000,    1.0000,   -2.0000,  988.1000, 1000.9000,   71.0000,   -0.2100,    2.0000,   -0.2385,    4.8178, -413.4233,    0.0000,  211.1290,    0.0000,    0.0000,    6.9943,    1.1000,  988.2000,  103.0000,    1.0000,    4.8178,nan,   -0.2535,    0.1171, -432.2189,  163.1820,    0.0000,    0.0000,    4.6254,   -0.1532,  988.2000,  103.0000,    2.0000,    0.1171,   -0.2535,   -0.4995,    0.0418, -415.7947,  158.9531,    0.0000,    0.0000,    4.2157,   -0.2348,  988.2000,  103.0000,    2.0000,    0.0418,   -0.4995,70231
14987,1980-09-22 00:00:00,   62.9500,  204.4000,  103.0000,    2.0000,   -2.0000,  992.2000, 1005.0000,   61.0000,    0.3800,    1.0000,    0.2983,  -50.6409,   22.2734,nan,   85.6364, 1408.4000,    0.0000,    7.8125,    0.6000,  992.2000,  103.0000,    2.0000,   22.2734,  -50.6409,  -57.9312,   22.2734,  -29.7417, 1408.4000,    0.0000,    0.0000,    5.5886,   -0.6809,  992.2000,  103.0000,    2.0000,   22.2734,  -57.9312,  -55.6604,   20.8407,  -28.1049, 1407.4630,    0.0000,    0.0000,    5.1583,   -0.7378,  992.2000,  103.0000,    2.0000,   20.8407,  -55.6604,70231
15026,1981-01-16 00:00:00,   62.9500,  204.4000,  103.0000,   -4.0000,   -5.0000,  969.5000,  982.2000,   68.0000,   -4.3500,    1.0000,   -4.1641,  -11.3489,   28.6541, -144.6793,  776.4000,    0.0000,    0.0000,  -20.0542,   -5.0000,  968.5000,  103.0000,    2.0000,   28.6541,  -11.3489,  -16.1201,   14.0937, -162.8248,  707.4006,    0.0000,    0.0000,  -19.4337,   -5.3554,  968.5000,  103.0000,    2.0000,   14.0937,  -16.1201,  -16.0329,   12.5433, -155.9201,  700.8611,    0.0000,    0.0000,  -18.4604,   -5.1478,  968.5000,  103.0000,    2.0000,   12.5433,  -16.0329,70231
15032,1981-02-06 00:00:00,   62.9500,  204.4000,  103.0000,   -5.0000,   -6.0000, 1006.4000, 1019.7000,   71.0000,   -5.3300,    2.0000,   -5.1125, -110.2076,   13.5652, -141.5553,  939.0000,    0.0000,    0.0000,   -1.1742,   -5.0000, 1006.4000,  103.0000,    2.0000,   13.5652, -110.2076, -119.0410,    1.7534, -176.1616,  734.5291,    0.0000,    0.0000,   -1.3706,   -5.5204, 1006.4000,  103.0000,    2.0000,    1.7534, -119.0410, -114.6876,    1.2666, -170.2915,  720.7655,    0.0000,    0.0000,   -1.3634,   -5.3280, 1006.4000,  103.0000,    2.0000,    1.2666, -114.6876,70231
15035,1981-02-08 00:00:00,   62.9500,  204.4000,  103.0000,   -7.0000,   -8.0000, 1011.3000, 1024.7000,   71.0000,   -7.3000,    2.0000,   -7.0293, -131.1115,    2.6310,  -25.9702, 1007.5385,    0.0000,    0.0000,  -12.9870,   -7.2000, 1011.5000,  103.0000,    2.0000,    2.6310, -131.1115, -137.5846,    0.1786,  -37.2957,  883.7551,    0.0000,    0.0000,  -13.2027,   -7.5442, 1011.5000,  103.0000,    2.0000,    0.1786, -137.5846, -132.8835,    0.1034,  -35.9472,  874.6647,    0.0000,    0.0000,  -12.7382,   -7.2859, 1011.5000,  103.0000,    2.0000,    0.1034, -132.8835,70231
