,accuracy,recall,precision,f1score,POD,FARatio,FAR,CSI,HSS,TSS
04202,0.8947368421052632,0.0,,,0.0,,0.0,0.0,0.0,0.0
25399,0.9629629629629629,0.7142857142857143,1.0,0.4166666666666667,0.7142857142857143,0.0,0.0,0.7142857142857143,0.8131487889273357,0.7142857142857143
70086,0.8571428571428571,0.4,1.0,0.2857142857142857,0.4,0.0,0.0,0.4,0.5039370078740157,0.4
70133,0.9210526315789473,0.3888888888888889,0.875,0.2692307692307692,0.3888888888888889,0.125,0.007462686567164179,0.3684210526315789,0.5021834061135371,0.3814262023217247
70200,0.9005524861878453,0.10526315789473684,0.6666666666666666,0.09090909090909091,0.10526315789473684,0.33333333333333337,0.006172839506172839,0.1,0.1577042399172699,0.099090318388564
70231,0.9166666666666666,0.375,0.6923076923076923,0.24324324324324326,0.375,0.3076923076923077,0.0196078431372549,0.32142857142857145,0.445468509984639,0.3553921568627451
70261,0.9485294117647058,0.3333333333333333,0.75,0.23076923076923078,0.3333333333333333,0.25,0.007874015748031496,0.3,0.4386792452830189,0.32545931758530183
70273,0.9311594202898551,0.21739130434782608,0.8333333333333334,0.1724137931034483,0.21739130434782608,0.16666666666666663,0.003952569169960474,0.20833333333333334,0.32142857142857145,0.2134387351778656
70316,0.9213973799126638,0.2727272727272727,0.75,0.2,0.2727272727272727,0.25,0.00966183574879227,0.25,0.3675974225222461,0.26306543697848045
70361,0.9349930843706777,0.1509433962264151,0.8,0.12698412698412698,0.1509433962264151,0.19999999999999996,0.0029850746268656717,0.14545454545454545,0.2361932163006586,0.1479583215995494
70398,0.9654510556621881,0.1,1.0,0.09090909090909091,0.1,0.0,0.0,0.1,0.17606747496046388,0.1
71051,0.9333333333333333,0.6666666666666666,1.0,0.4,0.6666666666666666,0.0,0.0,0.6666666666666666,0.7619047619047619,0.6666666666666666
71072,0.90625,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.6190476190476191,0.5
71081,0.9224137931034483,0.3,0.6,0.2,0.3,0.4,0.018867924528301886,0.25,0.36341463414634145,0.2811320754716981
71082,0.6,0.35714285714285715,0.8333333333333334,0.25,0.35714285714285715,0.16666666666666663,0.09090909090909091,0.3333333333333333,0.2469879518072289,0.26623376623376627
71109,0.9772455089820359,0.18181818181818182,0.8,0.14814814814814814,0.18181818181818182,0.19999999999999996,0.0012300123001230013,0.17391304347826086,0.28936170212765955,0.1805881695180588
71203,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0
71625,1.0,1.0,1.0,0.5,1.0,0.0,,1.0,,
71714,0.9166666666666666,,0.0,,,1.0,0.08333333333333333,0.0,0.0,
71722,0.8666666666666667,0.5555555555555556,0.7142857142857143,0.3125,0.5555555555555556,0.2857142857142857,0.05555555555555555,0.45454545454545453,0.5454545454545454,0.5
71816,0.9296875,0.46153846153846156,0.75,0.2857142857142857,0.46153846153846156,0.25,0.017391304347826087,0.4,0.535483870967742,0.44414715719063547
71823,0.9067796610169492,0.4666666666666667,0.7,0.28,0.4666666666666667,0.30000000000000004,0.02912621359223301,0.3888888888888889,0.510188679245283,0.4375404530744337
71836,0.9122807017543859,0.625,0.7142857142857143,0.3333333333333333,0.625,0.2857142857142857,0.04081632653061224,0.5,0.6164199192462988,0.5841836734693877
71867,0.9153846153846154,0.5789473684210527,0.7857142857142857,0.3333333333333333,0.5789473684210527,0.2142857142857143,0.02702702702702703,0.5,0.6194784459819053,0.5519203413940257
71876,1.0,,,,,,0.0,,,
71893,1.0,,,,,,0.0,,,
71896,0.9166666666666666,0.625,0.7142857142857143,0.3333333333333333,0.625,0.2857142857142857,0.038461538461538464,0.5,0.6192893401015228,0.5865384615384616
71906,0.9411764705882353,0.6333333333333333,0.8636363636363636,0.36538461538461536,0.6333333333333333,0.13636363636363635,0.014423076923076924,0.5757575757575758,0.6986251808972503,0.6189102564102564
71907,0.8536585365853658,0.4375,0.7,0.2692307692307692,0.4375,0.30000000000000004,0.045454545454545456,0.3684210526315789,0.45695364238410596,0.39204545454545453
71909,0.8780487804878049,0.2,0.5,0.14285714285714285,0.2,0.5,0.027777777777777776,0.16666666666666666,0.23220973782771537,0.17222222222222222
71915,0.8728813559322034,0.5,0.6666666666666666,0.2857142857142857,0.5,0.33333333333333337,0.05102040816326531,0.4,0.4985835694050991,0.4489795918367347
71925,0.8791946308724832,0.5357142857142857,0.75,0.3125,0.5357142857142857,0.25,0.04132231404958678,0.45454545454545453,0.5553713527851459,0.49439197166469895
71928,1.0,,,,,,0.0,,,
71957,0.9285714285714286,0.6,0.8181818181818182,0.3461538461538461,0.6,0.18181818181818177,0.020618556701030927,0.5294117647058824,0.6529821843532145,0.579381443298969
71964,0.9635416666666666,0.3333333333333333,0.4,0.18181818181818182,0.3333333333333333,0.6,0.016129032258064516,0.2222222222222222,0.34502923976608185,0.3172043010752688
72208,0.9047619047619048,0.5,0.5,0.25,0.5,0.5,0.05263157894736842,0.3333333333333333,0.4473684210526316,0.4473684210526316
72214,0.8571428571428571,0.0,,,0.0,,0.0,0.0,0.0,0.0
72221,1.0,,,,,,0.0,,,
72235,0.9032258064516129,0.5,0.6666666666666666,0.2857142857142857,0.5,0.33333333333333337,0.037037037037037035,0.4,0.5181347150259067,0.46296296296296297
72240,0.6363636363636364,0.0,0.0,,0.0,1.0,0.3,0.0,-0.15789473684210525,-0.3
72248,0.8571428571428571,0.3333333333333333,1.0,0.25,0.3333333333333333,0.0,0.0,0.3333333333333333,0.44,0.3333333333333333
72250,1.0,,,,,,0.0,,,
72251,1.0,,,,,,0.0,,,
72255,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0
72261,0.875,,0.0,,,1.0,0.125,0.0,0.0,
72265,0.8518518518518519,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.33333333333333337,0.09523809523809523,0.5,0.5714285714285714,0.5714285714285714
72274,0.9807692307692307,0.0,,,0.0,,0.0,0.0,0.0,0.0
72280,1.0,,,,,,0.0,,,
72290,1.0,,,,,,0.0,,,
72304,0.8666666666666667,0.5,0.5,0.25,0.5,0.5,0.07692307692307693,0.3333333333333333,0.4230769230769231,0.4230769230769231
72327,0.9411764705882353,0.6,0.75,0.3333333333333333,0.6,0.25,0.021739130434782608,0.5,0.6348448687350835,0.5782608695652174
72349,0.8181818181818182,0.5,0.5,0.25,0.5,0.5,0.1111111111111111,0.3333333333333333,0.3888888888888889,0.3888888888888889
72353,0.88,0.8,0.6666666666666666,0.36363636363636365,0.8,0.33333333333333337,0.1,0.5714285714285714,0.6511627906976745,0.7000000000000001
72363,0.9166666666666666,0.75,0.6,0.3333333333333333,0.75,0.4,0.0625,0.5,0.6197183098591549,0.6875
72374,1.0,,,,,,0.0,,,
72386,1.0,,,,,,0.0,,,
72387,0.9166666666666666,0.3333333333333333,1.0,0.25,0.3333333333333333,0.0,0.0,0.3333333333333333,0.4666666666666667,0.3333333333333333
72393,1.0,,,,,,0.0,,,
72394,1.0,,,,,,0.0,,,
72403,0.7835051546391752,0.2857142857142857,0.26666666666666666,0.13793103448275862,0.2857142857142857,0.7333333333333334,0.13253012048192772,0.16,0.14876723777684914,0.15318416523235798
72425,0.9,0.42857142857142855,0.75,0.2727272727272727,0.42857142857142855,0.25,0.023255813953488372,0.375,0.4939271255060729,0.4053156146179402
72429,0.9512195121951219,0.875,0.875,0.4375,0.875,0.125,0.030303030303030304,0.7777777777777778,0.8446969696969697,0.8446969696969697
72451,0.9074074074074074,0.75,0.42857142857142855,0.2727272727272727,0.75,0.5714285714285714,0.08,0.375,0.49814126394052044,0.67
72476,0.926829268292683,0.14285714285714285,1.0,0.125,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2336448598130841,0.14285714285714285
72488,0.9722222222222222,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.6538461538461539,0.5
72494,1.0,,,,,,0.0,,,
72503,1.0,,,,,,0.0,,,
72518,0.8,0.2727272727272727,0.46153846153846156,0.17142857142857143,0.2727272727272727,0.5384615384615384,0.07526881720430108,0.20689655172413793,0.23399942079351288,0.19745845552297164
72520,0.8740740740740741,0.17647058823529413,0.5,0.13043478260869565,0.17647058823529413,0.5,0.025423728813559324,0.15,0.20889348500517063,0.1510468594217348
72528,0.8341968911917098,0.3157894736842105,0.6666666666666666,0.2142857142857143,0.3157894736842105,0.33333333333333337,0.03870967741935484,0.2727272727272727,0.34576271186440677,0.2770797962648557
72532,0.9487179487179487,1.0,0.6666666666666666,0.4,1.0,0.33333333333333337,0.05714285714285714,0.6666666666666666,0.7719298245614035,0.9428571428571428
72534,0.75,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.5,0.5
72544,0.9318181818181818,0.3333333333333333,0.5,0.2,0.3333333333333333,0.5,0.024390243902439025,0.25,0.36538461538461536,0.30894308943089427
72576,0.6842105263157895,0.2,0.3333333333333333,0.125,0.2,0.6666666666666667,0.14285714285714285,0.14285714285714285,0.06557377049180328,0.05714285714285716
72583,0.859375,0.2727272727272727,0.75,0.2,0.2727272727272727,0.25,0.018867924528301886,0.25,0.3394495412844037,0.2538593481989708
72606,0.9291338582677166,0.6428571428571429,0.6923076923076923,0.3333333333333333,0.6428571428571429,0.3076923076923077,0.035398230088495575,0.5,0.6270799347471452,0.6074589127686474
72645,0.8817204301075269,0.38461538461538464,0.625,0.23809523809523808,0.38461538461538464,0.375,0.0375,0.3125,0.41375358166189113,0.34711538461538466
72655,0.9473684210526315,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.6415094339622641,0.5
72659,0.8611111111111112,0.16666666666666666,1.0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.16666666666666666,0.25,0.16666666666666666
72662,0.9252336448598131,0.5555555555555556,1.0,0.35714285714285715,0.5555555555555556,0.0,0.0,0.5555555555555556,0.6752655538694993,0.5555555555555556
72672,1.0,,,,,,0.0,,,
72694,0.9864406779661017,0.4,0.6666666666666666,0.25,0.4,0.33333333333333337,0.0034482758620689655,0.3333333333333333,0.49356223175965663,0.39655172413793105
72734,0.796875,0.26666666666666666,0.6666666666666666,0.19047619047619047,0.26666666666666666,0.33333333333333337,0.04081632653061224,0.23529411764705882,0.2852233676975945,0.22585034013605443
72764,0.9166666666666666,0.7368421052631579,0.875,0.4,0.7368421052631579,0.125,0.03076923076923077,0.6666666666666666,0.7478559176672385,0.7060728744939271
72775,0.9595959595959596,0.3333333333333333,1.0,0.25,0.3333333333333333,0.0,0.0,0.3333333333333333,0.484375,0.3333333333333333
72776,0.9710144927536232,0.6,1.0,0.37499999999999994,0.6,0.0,0.0,0.6,0.735632183908046,0.6
72785,0.9084507042253521,0.3055555555555556,0.9166666666666666,0.22916666666666669,0.3055555555555556,0.08333333333333337,0.004032258064516129,0.2972972972972973,0.4216791979949875,0.30152329749103945
72793,1.0,,,,,,0.0,,,
72797,0.9811827956989247,0.2222222222222222,1.0,0.18181818181818182,0.2222222222222222,0.0,0.0,0.2222222222222222,0.35798816568047337,0.2222222222222222
74486,0.6666666666666666,0.0,,,0.0,,0.0,0.0,0.0,0.0
74777,1.0,,,,,,0.0,,,
74788,1.0,,,,,,0.0,,,
78073,1.0,,,,,,0.0,,,
BKF,0.9333333333333333,0.0,,,0.0,,0.0,0.0,0.0,0.0
BOI,0.9642857142857143,1.0,0.6666666666666666,0.4,1.0,0.33333333333333337,0.038461538461538464,0.6666666666666666,0.78125,0.9615384615384616
BVE,1.0,,,,,,0.0,,,
COF,1.0,,,,,,0.0,,,
COS,1.0,,,,,,0.0,,,
CWEU,0.9285714285714286,0.5,0.75,0.30000000000000004,0.5,0.25,0.02,0.42857142857142855,0.5625,0.48
CYBK,0.873015873015873,0.2727272727272727,1.0,0.2142857142857143,0.2727272727272727,0.0,0.0,0.2727272727272727,0.38235294117647056,0.2727272727272727
CYLT,0.65,0.2222222222222222,1.0,0.18181818181818182,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2391304347826087,0.2222222222222222
CYMO,0.967741935483871,0.0,,,0.0,,0.0,0.0,0.0,0.0
CYPH,0.8928571428571429,0.25,1.0,0.2,0.25,0.0,0.0,0.25,0.36363636363636365,0.25
CYPL,0.8805970149253731,0.25,0.5,0.16666666666666666,0.25,0.5,0.03389830508474576,0.2,0.2756756756756757,0.21610169491525424
CYQB,1.0,,,,,,0.0,,,
CYRB,0.9166666666666666,0.5714285714285714,1.0,0.36363636363636365,0.5714285714285714,0.0,0.0,0.5714285714285714,0.6823529411764706,0.5714285714285714
CYXS,0.9565217391304348,0.5,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.6461538461538462,0.5
DMA,0.9047619047619048,0.0,,,0.0,,0.0,0.0,0.0,0.0
EDW,1.0,,,,,,0.0,,,
FSI,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0
GEG,0.9814814814814815,0.0,,,0.0,,0.0,0.0,0.0,0.0
GFA,0.9333333333333333,0.25,1.0,0.2,0.25,0.0,0.0,0.25,0.3778801843317972,0.25
GRF,1.0,,,,,,0.0,,,
GRK,1.0,,,,,,0.0,,,
GTF,0.9666666666666667,0.0,,,0.0,,0.0,0.0,0.0,0.0
HMN,1.0,,,,,,0.0,,,
