,type12,type1,type2,rain,snow
04202,38,37,1,34,4
25399,54,50,4,47,7
70086,21,16,5,16,5
70133,152,148,4,134,18
70200,181,179,2,162,19
70231,228,215,13,204,24
70261,136,132,4,127,9
70273,276,256,20,253,23
70316,687,674,13,621,66
70361,723,711,12,670,53
70398,521,519,2,501,20
71051,15,12,3,12,3
71072,32,29,3,26,6
71081,116,112,4,106,10
71082,25,23,2,11,14
71109,835,833,2,813,22
71203,37,37,0,36,1
71625,1,0,1,0,1
71714,12,11,1,12,0
71722,45,40,5,36,9
71816,256,247,9,230,26
71823,118,113,5,103,15
71836,57,53,4,49,8
71867,130,117,13,111,19
71876,2,2,0,2,0
71893,5,5,0,5,0
71896,60,58,2,52,8
71906,238,222,16,208,30
71907,82,76,6,66,16
71909,164,157,7,144,20
71915,118,105,13,98,20
71925,149,132,17,121,28
71928,2,2,0,2,0
71957,112,101,11,97,15
71964,192,191,1,186,6
72208,21,18,3,19,2
72214,7,7,0,6,1
72221,1,1,0,1,0
72235,31,27,4,27,4
72240,11,8,3,10,1
72248,14,12,2,11,3
72250,3,3,0,3,0
72251,7,7,0,7,0
72255,5,4,1,4,1
72261,8,6,2,8,0
72265,27,23,4,21,6
72274,52,52,0,51,1
72280,1,1,0,1,0
72290,31,31,0,31,0
72304,15,14,1,13,2
72327,51,46,5,46,5
72349,22,16,6,18,4
72353,25,19,6,20,5
72363,36,29,7,32,4
72374,3,3,0,3,0
72386,2,2,0,2,0
72387,24,23,1,21,3
72393,12,12,0,12,0
72394,34,34,0,34,0
72403,97,74,23,83,14
72425,50,47,3,43,7
72429,41,30,11,33,8
72451,54,48,6,50,4
72476,82,81,1,75,7
72488,36,34,2,34,2
72494,96,96,0,96,0
72503,6,6,0,6,0
72518,115,96,19,93,22
72520,135,120,15,118,17
72528,193,182,11,155,38
72532,39,32,7,35,4
72534,4,3,1,2,2
72544,44,42,2,41,3
72576,19,17,2,14,5
72583,64,60,4,53,11
72606,127,109,18,113,14
72645,93,86,7,80,13
72655,19,19,0,17,2
72659,36,34,2,30,6
72662,107,103,4,89,18
72672,1,1,0,1,0
72694,295,289,6,290,5
72734,64,56,8,49,15
72764,84,72,12,65,19
72775,99,97,2,93,6
72776,69,68,1,64,5
72785,284,274,10,248,36
72793,4,4,0,4,0
72797,372,369,3,363,9
74486,3,3,0,2,1
74777,1,1,0,1,0
74788,1,1,0,1,0
78073,1,1,0,1,0
BKF,15,15,0,14,1
BOI,28,26,2,26,2
BVE,2,2,0,2,0
COF,1,1,0,1,0
COS,1,1,0,1,0
CWEU,56,56,0,50,6
CYBK,63,59,4,52,11
CYLT,20,17,3,11,9
CYMO,31,29,2,30,1
CYPH,28,28,0,24,4
CYPL,67,62,5,59,8
CYQB,5,5,0,5,0
CYRB,36,34,2,29,7
CYXS,46,44,2,42,4
DMA,21,21,0,19,2
EDW,4,4,0,4,0
FSI,6,5,1,5,1
GEG,54,53,1,53,1
GFA,45,43,2,41,4
GRF,8,8,0,8,0
GRK,1,1,0,1,0
GTF,30,30,0,29,1
HMN,1,1,0,1,0
HRT,2,2,0,2,0
KAFW,9,7,2,7,2
KAPA,16,15,1,12,4
KBAD,6,5,1,6,0
KBKF,13,13,0,10,3
KBOI,70,70,0,70,0
KCCR,24,24,0,24,0
KCQX,31,31,0,31,0
KDEN,8,8,0,8,0
KDMA,10,10,0,10,0
KDTN,12,10,2,12,0
KDVN,15,15,0,14,1
KEDW,2,2,0,2,0
KEET,5,4,1,4,1
KEKO,20,19,1,19,1
KFCM,28,26,2,27,1
KFFC,5,5,0,5,0
KFLG,18,18,0,16,2
KFOE,13,12,1,11,2
KFOK,20,18,2,20,0
KFSI,1,1,0,1,0
KFTW,12,12,0,11,1
KGAG,1,1,0,1,0
KGFA,14,14,0,13,1
KGKY,9,6,3,8,1
KGLR,26,23,3,25,1
KHKS,6,5,1,6,0
KHWD,26,26,0,26,0
KHWO,1,1,0,1,0
KIAG,36,33,3,32,4
KISP,29,26,3,28,1
KLAW,3,3,0,3,0
KLIT,14,13,1,14,0
KLRF,12,7,5,10,2
KMIC,25,22,3,22,3
KMRH,5,5,0,5,0
KMYF,14,14,0,14,0
KNFW,12,9,3,12,0
KNGP,2,2,0,2,0
KNJM,1,1,0,1,0
KNYL,1,1,0,1,0
KNZY,16,16,0,16,0
KODO,9,9,0,9,0
KOPF,1,1,0,1,0
KPTK,35,32,3,34,1
KRCA,14,14,0,12,2
KRIW,14,14,0,12,2
KRNM,6,6,0,6,0
KSDL,1,1,0,1,0
KSKA,41,41,0,39,2
KSPG,2,2,0,2,0
KTMB,1,1,0,1,0
KTTS,1,1,0,1,0
KVBG,5,5,0,5,0
KVGT,2,2,0,2,0
KWAL,26,26,0,26,0
KYUM,2,2,0,2,0
LGB,2,2,0,2,0
LHW,1,1,0,1,0
LRF,23,20,3,22,1
LSF,1,1,0,1,0
MCF,1,1,0,1,0
MMML,1,1,0,1,0
OAK,5,5,0,5,0
ORD,1,0,1,0,1
PAH,7,7,0,6,1
PALH,86,83,3,84,2
PAMR,119,115,4,114,5
PANC,131,126,5,123,8
PANT,272,272,0,266,6
RCA,31,29,2,29,2
SAN,5,5,0,5,0
SEP,2,1,1,2,0
SKA,83,77,6,77,6
SLE,30,29,1,30,0
TCM,7,7,0,7,0
TIK,13,11,2,11,2
UCC,5,5,0,5,0
VBG,7,7,0,7,0
VPS,3,3,0,3,0
