p,t,tw,ti,z
939.1,-1.1,-1.2095374452448555,-1.1512017649317188,720.0
936.0,-1.1,-2.269028396462585,-2.2379036735212696,746.0
927.0,-1.6,-1.9788343930525292,-1.9012619573415472,823.0
917.0,0.4,0.10195380458512027,0.0754797220237355,910.0
886.0,3.2,2.858011098508415,2.647455253750648,1188.0
850.0,3.0,2.3732397195668473,2.1772984777232014,1525.0
819.0,1.6,0.24284718156585655,0.13977730494401805,1826.0
800.0,0.0,-0.6355806030898883,-0.638726516908044,2015.0
780.0,-1.3,-1.8475608980161669,-1.7761019471938604,2218.0
774.0,-1.5,-3.5428129908675468,-3.4949071410582233,2280.0
766.0,-2.0,-4.386267461255092,-4.328339666399261,2363.0
752.0,-3.1,-4.432518533958389,-4.291874355825666,2509.0
732.0,-4.2,-7.834593764760048,-7.764302435458026,2722.0
700.0,-7.3,-9.392250535302312,-9.15213129618872,3072.0
692.0,-7.7,-8.767213900512475,-8.452231984064005,3161.0
622.0,-11.2,-11.628028535510138,-11.175299329053411,3986.0
603.0,-10.6,-11.006039934958848,-10.551683004155972,4225.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
