,datetime,lat,lon,elev,t,td,p,slp,ww,tw,wwflag,ti,area1_t,area2_t,area3_t,freezing_level1_t,freezing_level2_t,freezing_level3_t,lapse_rate_t,lowest_t,lowest_p_t,lowest_z_t,type_t,PA_t,NA_t,area1_tw,area2_tw,area3_tw,freezing_level1_tw,freezing_level2_tw,freezing_level3_tw,lapse_rate_tw,lowest_tw,lowest_p_tw,lowest_z_tw,type_tw,PA_tw,NA_tw,area1_ti,area2_ti,area3_ti,freezing_level1_ti,freezing_level2_ti,freezing_level3_ti,lapse_rate_ti,lowest_ti,lowest_p_ti,lowest_z_ti,type_ti,PA_ti,NA_ti,ID
109,1979-10-09 00:00:00,   76.5300,  291.5000,   59.0000,    2.0000,   -4.0000, 1007.2000, 1016.9000,   60.0000,   -0.2900,    1.0000,   -0.3587,   72.0459, -115.1603,    0.0000, 1062.0000,    0.0000,    0.0000,    2.6144,    3.6000, 1010.0000,   59.0000,    1.0000,   72.0459,nan,   13.7423, -149.1306,    0.0000,  616.1035,    0.0000,    0.0000,   -3.0992,    0.0754, 1010.0000,   59.0000,    1.0000,   13.7423,nan,   -0.0700,    9.9122, -145.0483,  578.0985,    0.0000,    0.0000,   -3.3508,   -0.1844, 1010.0000,   59.0000,    2.0000,    9.9122,   -0.0700,04202
254,1981-06-26 12:00:00,   76.5300,  291.5000,   59.0000,    1.0000,   -1.0000, 1002.1000, 1011.6000,   71.0000,    0.1800,    2.0000,    0.1416,   48.1626, -126.6678,    0.0000,  579.3001,    0.0000,    0.0000,    1.2888,    1.0000, 1005.0000,   63.0000,    1.0000,   48.1626,nan,   -0.0031,    7.6916, -202.6376,  295.7694,    0.0000,    0.0000,    1.7906,   -0.0810, 1005.0000,   63.0000,    2.0000,    7.6916,   -0.0031,   -0.0138,    5.1253, -198.6452,  261.8418,    0.0000,    0.0000,    1.7283,   -0.1547, 1005.0000,   63.0000,    2.0000,    5.1253,   -0.0138,04202
802,1988-06-16 00:00:00,   76.5300,  291.5000,   59.0000,    1.6000,   -0.8000,  993.0913, 1000.4000,   71.0000,    0.6000,    2.0000,    0.5311,   -6.4212,    4.0718, -239.5631,  501.4367,    0.0000,    0.0000,   -2.8100,    0.0000,  990.0000,   63.0000,    2.0000,    4.0718,   -6.4212,  -16.1431,    0.8279, -254.9578,  427.4363,    0.0000,    0.0000,   -2.0739,   -0.2776,  990.0000,   63.0000,    2.0000,    0.8279,  -16.1431,  -16.1152,    0.6450, -244.2029,  421.1145,    0.0000,    0.0000,   -1.9064,   -0.2822,  990.0000,   63.0000,    2.0000,    0.6450,  -16.1152,04202
1337,2001-09-27 00:00:00,   76.5300,  291.5000,   59.0000,    2.0000,    0.0000, 1004.5180, 1011.9000,   61.0000,    1.1500,    1.0000,    1.0553,   38.0401, -185.9252,    0.0000,nan,    0.0000,    0.0000,    1.8720,    1.2000, 1002.0000,nan,    1.0000,   38.0401,nan,    1.9998, -262.3378,    0.0000,nan,    0.0000,    0.0000,    2.6868,    0.0014, 1002.0000,nan,    1.0000,    1.9998,nan,   -0.0095,    0.8627, -256.8507,nan,    0.0000,    0.0000,    2.6038,   -0.0851, 1002.0000,nan,    2.0000,    0.8627,   -0.0095,04202
1579,2003-06-06 00:00:00,   76.5300,  291.5000,   59.0000,   -2.0000,   -2.0000, 1007.1888, 1014.7000,   71.0000,   -2.0000,    2.0000,   -1.8982,  -39.1614,  129.9265,    0.0000,nan,    0.0000,    0.0000,   -7.3430,   -2.1000, 1006.0000,nan,    2.0000,  129.9265,  -39.1614,  -42.9097,   16.5754, -126.1822,nan,    0.0000,    0.0000,   -6.6691,   -2.1000, 1006.0000,nan,    2.0000,   16.5754,  -42.9097,  -41.2131,   13.7493, -135.6266,nan,    0.0000,    0.0000,   -6.2517,   -1.9936, 1006.0000,nan,    2.0000,   13.7493,  -41.2131,04202
1805,2004-10-20 00:00:00,   76.5300,  291.5000,   59.0000,    3.0000,   -1.0000, 1005.6366, 1013.0000,   68.0000,    1.3300,    1.0000,    1.1945,   16.0052,   -8.1223,   52.8025,nan,    0.0000,    0.0000,    8.8729,    2.8000, 1006.0000,nan,    1.0000,   16.0052,nan,    1.2066,  -50.6205,    2.0920,nan,    0.0000,    0.0000,    9.0861,    1.1998, 1006.0000,nan,    1.0000,    1.2066,nan,  -53.4920,    0.9579,nan,nan,    0.0000,    0.0000,    8.6530,    1.0184, 1006.0000,nan,    2.0000,    0.9579,  -53.4920,04202
2167,1978-04-25 12:00:00,   66.1700,  190.1700,    7.0000,   -1.0000,   -1.0000, 1011.0117, 1011.9000,   71.0000,   -1.0000,    2.0000,   -0.9469,  -26.6613,    2.9138, -293.3557,  602.0000,    0.0000,    0.0000,   -3.7109,   -0.9000, 1012.0000,    7.0000,    2.0000,    2.9138,  -26.6613,  -32.9244,    0.5331, -320.8874,  550.4657,    0.0000,    0.0000,   -3.1668,   -1.2015, 1012.0000,    7.0000,    2.0000,    0.5331,  -32.9244,  -31.8107,    0.4023, -309.4076,  546.2592,    0.0000,    0.0000,   -2.9613,   -1.1609, 1012.0000,    7.0000,    2.0000,    0.4023,  -31.8107,25399
2183,1978-05-10 00:00:00,   66.1700,  190.1700,    7.0000,   -6.0000,   -7.0000, 1012.8933, 1013.8000,   71.0000,   -6.3100,    2.0000,   -6.0686, -139.1422,   35.9834,  -21.7405, 1585.8969,    0.0000,    0.0000,    5.3215,   -5.9000, 1013.0000,    7.0000,    2.0000,   35.9834, -139.1422, -162.8594,    4.1489,  -57.0124,  982.1511,    0.0000,    0.0000,    5.3903,   -6.5134, 1013.0000,    7.0000,    2.0000,    4.1489, -162.8594, -158.7933,    2.9364,  -57.3722,  962.5395,    0.0000,    0.0000,    5.2566,   -6.3031, 1013.0000,    7.0000,    2.0000,    2.9364, -158.7933,25399
2188,1978-06-02 12:00:00,   66.1700,  190.1700,    7.0000,   -1.0000,   -2.0000, 1015.8074, 1016.7000,   71.0000,   -1.3900,    2.0000,   -1.3290, -102.6788,   81.8405,   -1.1906, 1883.6522,    0.0000,    0.0000,    8.8415,   -0.9000, 1016.0000,    7.0000,    2.0000,   81.8405, -102.6788, -119.9527,    5.2023, -145.2013,  953.5070,    0.0000,    0.0000,    8.3366,   -1.6274, 1016.0000,    7.0000,    2.0000,    5.2023, -119.9527, -116.1557,    4.0466, -153.9131,  935.6780,    0.0000,    0.0000,    7.9845,   -1.5990, 1016.0000,    7.0000,    2.0000,    4.0466, -116.1557,25399
2474,1980-05-26 00:00:00,   66.1700,  190.1700,    7.0000,   -0.0000,   -0.0000, 1009.1166, 1010.0000,   63.0000,   -0.0000,    1.0000,    0.0000,  -41.9717,   19.0491,  -60.1605, 1118.0645,    0.0000,    0.0000,    6.5708,   -0.3000, 1010.0000,    7.0000,    2.0000,   19.0491,  -41.9717,  -47.2418,   17.0125,  -63.0259, 1099.6490,    0.0000,    0.0000,    6.4511,   -0.5711, 1010.0000,    7.0000,    2.0000,   17.0125,  -47.2418,  -45.3282,   15.7778,  -59.9303, 1097.4695,    0.0000,    0.0000,    6.1378,   -0.5601, 1010.0000,    7.0000,    2.0000,   15.7778,  -45.3282,25399
